,,Recensione,Esito
Yelp,0,"Good case, Excellent value.",1
Yelp,1,Great for the jawbone.,1
Yelp,2,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
Yelp,3,The mic is great.,1
Yelp,4,I have to jiggle the plug to get it to line up right to get decent volume.,0
Yelp,5,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
Yelp,6,If you are Razr owner...you must have this!,1
Yelp,7,"Needless to say, I wasted my money.",0
Yelp,8,What a waste of money and time!.,0
Yelp,9,And the sound quality is great.,1
Yelp,10,He was very impressed when going from the original battery to the extended battery.,1
Yelp,11,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
Yelp,12,Very good quality though,1
Yelp,13,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
Yelp,14,Highly recommend for any one who has a blue tooth phone.,1
Yelp,15,I advise EVERYONE DO NOT BE FOOLED!,0
Yelp,16,So Far So Good!.,1
Yelp,17,Works great!.,1
Yelp,18,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
Yelp,19,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
Yelp,20,I bought this to use with my Kindle Fire and absolutely loved it!,1
Yelp,21,The commercials are the most misleading.,0
Yelp,22,I have yet to run this new battery below two bars and that's three days without charging.,1
Yelp,23,I bought it for my mother and she had a problem with the battery.,0
Yelp,24,Great Pocket PC / phone combination.,1
Yelp,25,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
Yelp,26,I didn't think that the instructions provided were helpful to me.,0
Yelp,27,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
Yelp,28,Doesn't hold charge.,0
Yelp,29,"This is a simple little phone to use, but the breakage is unacceptible.",0
Yelp,30,This product is ideal for people like me whose ears are very sensitive.,1
Yelp,31,It is unusable in a moving car at freeway speed.,0
Yelp,32,I have two more years left in this contract and I hate this phone.,0
Yelp,33,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
Yelp,34,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
Yelp,35,It has kept up very well.,1
Yelp,36,Poor Talk Time Performance.,0
Yelp,37,The case is great and works fine with the 680.,1
Yelp,38,worthless product.,0
Yelp,39,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
Yelp,40,I was not impressed by this product.,0
Yelp,41,Nice headset priced right.,1
Yelp,42,I only hear garbage for audio.,0
Yelp,43,Excellent bluetooth headset.,1
Yelp,44,It has all the features I want,1
Yelp,45,Who in their right mind is gonna buy this battery?.,0
Yelp,46,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
Yelp,47,This case seems well made.,1
Yelp,48,Disappointed with battery.,0
Yelp,49,Not loud enough and doesn't turn on like it should.,0
Yelp,50,good protection and does not make phone too bulky.,1
Yelp,51,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
Yelp,52,This phone is pretty sturdy and I've never had any large problems with it.,1
Yelp,53,I love this thing!,1
Yelp,54,Everything about it is fine and reasonable for the price i.e.,1
Yelp,55,VERY DISAPPOINTED.,0
Yelp,56,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
Yelp,57,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
Yelp,58,The buttons for on and off are bad.,0
Yelp,59,Essentially you can forget Microsoft's tech support.,0
Yelp,60,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
Yelp,61,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
Yelp,62,Buy a different phone - but not this.,0
Yelp,63,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
Yelp,64,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
Yelp,65,"A week later after I activated it, it suddenly died.",0
Yelp,66,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
Yelp,67,Great for iPODs too.,1
Yelp,68,This device is great in several situations:1.),1
Yelp,69,Mic Doesn't work.,0
Yelp,70,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
Yelp,71,Great choice!,1
Yelp,72,Nice docking station for home or work.,1
Yelp,73,This is a beautiful phone.,1
Yelp,74,Love this product.,1
Yelp,75,Do Not Buy for D807...wrongly advertised for D807.,0
Yelp,76,This is a great little item.,1
Yelp,77,"I love this phone , It is very handy and has a lot of features .",1
Yelp,78,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
Yelp,79,I wear it everyday and it holds up very well.,1
Yelp,80,Not a good bargain.,0
Yelp,81,"Well packaged, arrived on time, and works as intended.",1
Yelp,82,The battery runs down quickly.,0
Yelp,83,"This item worked great, but it broke after 6 months of use.",0
Yelp,84,The headsets are easy to use and everyone loves them.,1
Yelp,85,This phone works great.,1
Yelp,86,The construction of the headsets is poor.,0
Yelp,87,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
Yelp,88,The phone loads super!,1
Yelp,89,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
Yelp,90,Made very sturdy.,1
Yelp,91,Worked great!.,1
Yelp,92,The ear buds only play music in one ear.,0
Yelp,93,Dont waste your money...,0
Yelp,94,Will order from them again!,1
Yelp,95,If you plan to use this in a car forget about it.,0
Yelp,96,I found this product to be waaay too big.,0
Yelp,97,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
Yelp,98,I'm very disappointed with my decision.,0
Yelp,99,Integrated seamlessly with the Motorola RAZR phone.,1
Yelp,100,"Buyer Beware, you could flush money right down the toilet.",0
Yelp,101,Definitely a bargain.,1
Yelp,102,The price was very good and with the free shipping and all it was a good purchase.,1
Yelp,103,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
Yelp,104,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
Yelp,105,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0
Yelp,106,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
Yelp,107,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
Yelp,108,I purcashed this for the car charger and it does not work.,0
Yelp,109,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
Yelp,110,This phone is slim and light and the display is beautiful.,1
Yelp,111,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
Yelp,112,"Great product, fast shipping!.",1
Yelp,113,Absolutely great.,1
Yelp,114,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
Yelp,115,i got this phone around the end of may and i'm completely unhappy with it.,0
Yelp,116,It is very comfortable on the ear.,1
Yelp,117,It has been a winner for us.,1
Yelp,118,)Setup couldn't have been simpler.,1
Yelp,119,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
Yelp,120,Could not get strong enough signal.,0
Yelp,121,Iam very pleased with my purchase.,1
Yelp,122,Bad Quality.,0
Yelp,123,Gets the job done.,1
Yelp,124,Great audio!.,1
Yelp,125,Basically the service was very bad.,0
Yelp,126,it did not work in my cell phone plug i am very up set with the charger!.,0
Yelp,127,"I've only had my bluetooth for a few weeks, but I really like it.",1
Yelp,128,The BT headset was such a disapoinment.,0
Yelp,129,It is so small and you don't even realize that it is there after a while of getting used to it.,1
Yelp,130,The accompanied software is almost brilliant.,1
Yelp,131,Headset works great & was packaged nicely to avoid any damage.,1
Yelp,132,!I definitly recommend!!,1
Yelp,133,Buyer--Be Very Careful!!!!!.,0
